original_title,genre,duration,actors
M - Eine Stadt sucht einen Mörder,Horror,1.95,"Peter Lorre,  Ellen Widmann"
Citizen Kane,Action,1.983333333,"Joseph Cotten,  Dorothy Comingore"
Double Indemnity,Action,1.783333333,"Fred MacMurray,  Barbara Stanwyck"
Ladri di biciclette,Action,1.483333333,"Lamberto Maggiorani,  Enzo Staiola"
Ikiru,Action,2.383333333,"Takashi Shimura,  Shin'ichi Himori"
Singin' in the Rain,Comedy,1.716666667,"Gene Kelly,  Donald O'Connor"
Vertigo,Horror,2.133333333,"James Stewart,  Kim Novak"
North by Northwest,Horror,2.266666667,"Cary Grant,  Eva Marie Saint"
The Apartment,Comedy,2.083333333,"Jack Lemmon,  Shirley MacLaine"
Lawrence of Arabia,Action,3.8,"Peter O'Toole,  Alec Guinness"
Per qualche dollaro in più,Comedy,2.2,"Clint Eastwood,  Lee Van Cleef"
2001: A Space Odyssey,Horror,2.483333333,"Keir Dullea,  Gary Lockwood"
A Clockwork Orange,Horror,2.266666667,"Malcolm McDowell,  Patrick Magee"
The Sting,Comedy,2.15,"Paul Newman,  Robert Redford"
Taxi Driver,Action,1.9,"Diahnne Abbott,  Frank Adu"
Das Boot,Horror,2.483333333,"Jürgen Prochnow,  Herbert Grönemeyer"
Star Wars: Episode VI - Return of the Jedi,Action,2.183333333,"Mark Hamill,  Harrison Ford"
Scarface,Action,2.833333333,"Al Pacino,  Steven Bauer"
Amadeus,Action,2.666666667,"F. Murray Abraham,  Tom Hulce"
Shrek,Kids,2.52,"Mike Myers,  Eddie Murphy"
The Ring,Horror,3.0,"Naomi Watts,  Martin Henderson"
Anchorman,Comedy,3.63,"Will Ferrell,  Christina Applegate"
Die Hard,Action,2.94,"Bruce Willis,  Alan Rickman"
Borat,Comedy,2.52,"Sacha Baron Cohen,  Ken Davitian"
Aliens,Action,3.26,"Sigourney Weaver,  Michael Biehn"
Toy Story,Kids,3.13,"Tom Hanks,  Tim Allen"
Neverending Story,Kids,3.25,"Barret Oliver,  Noah Hathaway"
Mothman Prophecies,Horror,3.73,"Richard Gere,  Laura Linney"
The Hangover,Comedy,2.78,"Bradley Cooper,  Zach Galifianakis"
The Avengers,Action,2.99,"Robert Downey Jr.,  Chris Evans"
Airplane!,Comedy,3.24,"Robert Hays,  Julie Hagerty"
The Sixth Sense,Horror,3.27,"Bruce Willis,  Haley Joel Osment"
The Silence of the Lambs,Horror,3.67,"Jodie Foster,  Anthony Hopkins"
The Matrix,Action,3.59,"Keanu Reeves,  Laurence Fishburne"
Up,Kids,2.55,"Edward Asner,  Christopher Plummer"
